TIME,TEMPERATURE_IN_BME,TEMPERATURE_IN_SCD,TEMPERATURE_IN_DS,TEMPERATURE_OUT_BME,TEMPERATURE_OUT_SCD,TEMPERATURE_OUT_DS,TEMPERATURE_OUT_SFM,TEMPERATURE_C_BME,TEMPERATURE_C1_DS,TEMPERATURE_C2_DS,TEMPERATURE_C3_DS,HUMIDITY_IN_BME,HUMIDITY_IN_SCD,HUMIDITY_OUT_BME,HUMIDITY_OUT_SCD,CO2_IN_SCD,CO2_OUT_SCD,PRESSURE_IN_BME ,PRESSURE_OUT_BME,PRESSURE_C_BME,AIRFLOW_OUT_SFM
Tue Sep  6 03:00:09 2022,20.5,21.686119079589844,20.5,25.2,25.777069091796875,24.187,25.68,24.4,23.625,23.312,24.062,69.3 %,67.17529296875,56.0 %,62.26348876953125,474.76153564453125,775.1737060546875,996.488,996.664,996.945,36.32941176470588
Tue Sep  6 03:01:10 2022,20.5,21.686119079589844,20.562,25.2,25.777069091796875,24.187,25.67,24.4,23.625,23.312,24.062,69.4 %,66.876220703125,56.1 %,62.10784912109375,482.0023498535156,773.4686889648438,996.522,996.674,996.976,36.752941176470586
Tue Sep  6 03:02:10 2022,20.5,21.65941619873047,20.5,25.2,25.790420532226562,24.187,25.77,24.4,23.625,23.25,24.062,69.2 %,67.00439453125,56.0 %,61.785888671875,483.63677978515625,771.6616821289062,996.493,996.656,996.965,36.747058823529414
Tue Sep  6 03:03:10 2022,20.5,21.672767639160156,20.5,25.2,25.790420532226562,24.125,25.715,24.4,23.625,23.312,24.0,69.2 %,66.973876953125,56.0 %,61.82861328125,481.5038757324219,770.7727661132812,996.551,996.670,996.987,36.66470588235294
Tue Sep  6 03:04:10 2022,20.5,21.686119079589844,20.5,25.2,25.777069091796875,24.187,25.67,24.4,23.625,23.25,24.062,69.1 %,66.790771484375,56.2 %,62.26348876953125,476.47918701171875,774.4771728515625,996.488,996.688,996.992,35.8235294117647
Tue Sep  6 03:05:11 2022,20.6,21.73151397705078,20.5,25.2,25.777069091796875,24.125,25.69,24.4,23.625,23.312,24.0,69.0 %,66.70684814453125,56.2 %,62.03460693359375,473.67742919921875,774.6648559570312,996.501,996.640,996.957,36.48235294117647
Tue Sep  6 03:06:11 2022,20.6,21.60334014892578,20.5,25.2,25.777069091796875,24.125,25.695,24.4,23.625,23.25,24.062,69.2 %,67.3492431640625,56.2 %,62.26348876953125,478.46124267578125,775.959716796875,996.543,996.626,996.969,36.688235294117646
Tue Sep  6 03:07:11 2022,20.5,21.56061553955078,20.5,25.2,25.74768829345703,24.125,25.745,24.4,23.625,23.25,24.0,69.1 %,67.31109619140625,56.2 %,62.20703125,476.5735168457031,773.2237548828125,996.487,996.635,996.947,36.37647058823529
Tue Sep  6 03:08:11 2022,20.4,21.56061553955078,20.437,25.2,25.790420532226562,24.125,25.77,24.4,23.562,23.25,24.0,69.3 %,67.03643798828125,56.4 %,62.65106201171875,475.9635314941406,775.3533935546875,996.494,996.635,996.974,36.65294117647059
Tue Sep  6 03:09:12 2022,20.4,21.61669158935547,20.375,25.2,25.734336853027344,24.125,25.69,24.4,23.562,23.25,24.0,69.3 %,67.047119140625,56.4 %,62.40081787109375,474.82171630859375,776.943359375,996.448,996.609,996.929,37.01764705882353
Tue Sep  6 03:10:12 2022,20.3,21.57396697998047,20.312,25.2,25.777069091796875,24.125,25.72,24.4,23.625,23.25,24.0,69.6 %,67.0379638671875,56.6 %,62.701416015625,475.13751220703125,778.6441650390625,996.453,996.602,996.916,36.33529411764706
Tue Sep  6 03:11:12 2022,20.3,21.56061553955078,20.312,25.2,25.734336853027344,24.125,25.705,24.4,23.562,23.25,24.0,69.7 %,67.3675537109375,56.7 %,62.9730224609375,474.2748718261719,779.2022094726562,996.393,996.588,996.888,36.741176470588236
Tue Sep  6 03:12:12 2022,20.4,21.53124237060547,20.312,25.2,25.763717651367188,24.125,25.655,24.4,23.625,23.25,24.0,69.9 %,67.5689697265625,56.6 %,62.542724609375,475.3125305175781,779.6322021484375,996.363,996.511,996.844,36.71176470588235
Tue Sep  6 03:13:13 2022,20.3,21.47516632080078,20.312,25.2,25.734336853027344,24.125,25.7,24.4,23.625,23.25,24.0,69.9 %,68.011474609375,56.4 %,62.725830078125,476.7606506347656,777.7164916992188,996.318,996.475,996.803,36.358823529411765
Tue Sep  6 03:14:13 2022,20.3,21.30693817138672,20.312,25.2,25.734336853027344,24.125,25.69,24.4,23.562,23.25,24.0,69.8 %,67.9168701171875,56.8 %,62.85858154296875,474.2290344238281,774.3609008789062,996.330,996.470,996.768,37.12352941176471
Tue Sep  6 03:15:13 2022,20.3,21.376365661621094,20.25,25.2,25.720985412597656,24.125,25.675,24.4,23.562,23.25,24.0,69.9 %,67.742919921875,56.5 %,62.451171875,473.7785339355469,774.4561767578125,996.294,996.408,996.731,35.93529411764706
Tue Sep  6 03:16:13 2022,20.3,21.33631134033203,20.312,25.2,25.70496368408203,24.062,25.67,24.4,23.562,23.25,24.0,69.7 %,67.78411865234375,56.3 %,62.45880126953125,474.8668212890625,773.7406616210938,996.263,996.423,996.763,36.858823529411765
Tue Sep  6 03:17:13 2022,20.3,21.376365661621094,20.312,25.2,25.70496368408203,24.062,25.635,24.4,23.562,23.25,24.0,69.7 %,67.7642822265625,56.6 %,62.73956298828125,474.51898193359375,772.2649536132812,996.252,996.422,996.756,36.05294117647059
Tue Sep  6 03:18:14 2022,20.3,21.363014221191406,20.25,25.2,25.70496368408203,24.062,25.64,24.4,23.562,23.25,23.937,69.8 %,67.98858642578125,56.4 %,62.29400634765625,475.0255432128906,772.769775390625,996.248,996.338,996.726,35.476470588235294
Tue Sep  6 03:19:14 2022,20.3,21.30693817138672,20.25,25.1,25.678260803222656,24.062,25.735,24.3,23.562,23.25,24.0,70.0 %,68.3380126953125,56.6 %,62.84942626953125,473.2639465332031,774.1859130859375,996.219,996.351,996.657,36.7
Tue Sep  6 03:20:14 2022,20.2,21.376365661621094,20.25,25.1,25.678260803222656,24.062,25.65,24.3,23.562,23.25,23.937,70.2 %,68.17779541015625,56.6 %,62.70294189453125,471.5428161621094,774.78564453125,996.203,996.307,996.658,36.77647058823529
Tue Sep  6 03:21:14 2022,20.2,21.39238739013672,20.25,25.1,25.70496368408203,24.062,25.675,24.3,23.562,23.25,23.937,70.3 %,68.0908203125,56.4 %,62.36724853515625,470.2546691894531,776.1106567382812,996.159,996.331,996.638,36.67058823529412
Tue Sep  6 03:22:15 2022,20.3,21.405738830566406,20.25,25.1,25.678260803222656,24.062,25.58,24.3,23.562,23.187,23.937,70.3 %,67.84820556640625,56.6 %,63.06915283203125,473.7476806640625,776.3663940429688,996.152,996.301,996.637,36.49411764705882
